Variable,Mean,Standard Deviation,Median,Q1,Q3,Min,Max
성공횟수,-2.71,3.04,-5.2,-5.2,0.51,-5.2,5.2
신용평점,-0.01,1.06,-0.01,-0.68,0.67,-5.2,5.2
신청금액(만원),-0.29,1.71,-0.14,-0.73,0.55,-5.2,5.2
투자인원,-0.0,1.01,0.01,-0.66,0.68,-5.2,5.2
신청금리,0.0,0.99,-0.26,-0.69,0.64,-5.2,5.2
총횟수,-1.4,2.78,-0.14,-5.2,0.62,-5.2,5.2
성공률,-0.0,0.98,0.25,-0.67,0.25,-5.2,5.2
대출용도(대출상환0),2.3,4.66,5.2,-5.2,5.2,-5.2,5.2
4대보험(가입0),-0.72,5.15,-5.2,-5.2,5.2,-5.2,5.2
근무개월,-0.47,1.99,0.01,-0.66,0.68,-5.2,5.2
대출시기,-0.1,1.36,0.19,-0.61,0.7,-5.2,5.2
나이,0.0,1.0,-0.0,-0.57,0.71,-5.2,5.2
대출(은행보험),-2.5,3.05,-5.2,-5.2,0.67,-5.2,5.2
